Dan	Morgan	told
one	,	which
,	which	is
which	is	higher
is	higher	and
higher	and	stronger
and	stronger	than
stronger	than	the
than	the	old
the	old	one
old	one	.
one	.	We
.	We	are
We	are	very
are	very	proud
very	proud	of
proud	of	it
of	it	''
it	''	.
''	.	``
.	``	You
``	You	have
You	have	every
have	every	right
every	right	to
right	to	be
to	be	''
be	''	,
''	,	I
,	I	replied
I	replied	gravely
replied	gravely	in
gravely	in	the
in	the	Manu
the	Manu	dialect
Manu	dialect	,
dialect	,	but
,	but	my
but	my	attention
my	attention	was
attention	was	fixed
was	fixed	on
fixed	on	Brassnose
on	Brassnose	,
Brassnose	,	the
,	the	biggest
the	biggest	and
biggest	and	strongest
and	strongest	of
strongest	of	us
of	us	.
us	.	He
.	He	looked
He	looked	as
looked	as	if
as	if	he
if	he	was
he	was	going
was	going	to
going	to	keel
to	keel	over
keel	over	.
over	.	I
.	I	felt
I	felt	a
felt	a	queasiness
a	queasiness	in
queasiness	in	my
in	my	own
my	own	stomach
own	stomach	but
stomach	but	it
but	it	wouldn't
it	wouldn't	do
wouldn't	do	to
do	to	show
to	show	these
show	these	girls
these	girls	that
girls	that	we
that	we	were
we	were	afraid
were	afraid	.
afraid	.	Not
.	Not	so
Not	so	soon
so	soon	,
soon	,	anyway
,	anyway	.
anyway	.	I
.	I	clapped
I	clapped	the
clapped	the	big
the	big	man
big	man	with
man	with	the
with	the	bleached
the	bleached	hair
bleached	hair	on
hair	on	his
on	his	shoulder
his	shoulder	and
shoulder	and	said
and	said	heartily
said	heartily	,
heartily	,	hoping
,	hoping	it
hoping	it	would
it	would	make
would	make	an
make	an	impression
an	impression	on
impression	on	the
on	the	women
the	women	:
women	:	``
:	``	This
``	This	one
This	one	is
one	is	the
is	the	maku
the	maku	Frayne
maku	Frayne	.
Frayne	.	He
.	He	speaks
He	speaks	your
speaks	your	language
your	language	too
language	too	,
too	,	for
,	for	he
for	he	is
he	is	the
is	the	grandson
the	grandson	of
grandson	of	a
of	a	chieftain
a	chieftain	on
chieftain	on	Taui
on	Taui	who
Taui	who	made
who	made	much
made	much	magic
much	magic	and
magic	and	was
and	was	strong
was	strong	and
strong	and	cunning
and	cunning	.
cunning	.	The
.	The	maku
The	maku	Frayne
maku	Frayne	has
Frayne	has	inherited
has	inherited	this
inherited	this	strength
this	strength	from
strength	from	his
from	his	grandfather
his	grandfather	''
grandfather	''	.
''	.	This
.	This	was
This	was	the
was	the	worst
the	worst	thing
worst	thing	I
thing	I	could
I	could	have
could	have	said
have	said	.
said	.	Brassnose
.	Brassnose	turned
Brassnose	turned	a
turned	a	stricken
a	stricken	face
stricken	face	toward
face	toward	me
toward	me	and
me	and	said
and	said	brokenly
said	brokenly	,
brokenly	,	``
,	``	Sommers
``	Sommers	,
Sommers	,	you
,	you	meddling
you	meddling	Yank
meddling	Yank	,
Yank	,	you're
,	you're	a
you're	a	fool
a	fool	!
fool	!	!
!	!	They
!	They	despise
They	despise	males
despise	males	who
males	who	brag
who	brag	of
brag	of	their
of	their	strength
their	strength	;
strength	;	;
;	;	they
;	they	destroy
they	destroy	such
destroy	such	men
such	men	with
men	with	their
with	their	damned
their	damned	tests
damned	tests	.
tests	.	You've
.	You've	ruined
You've	ruined	me
ruined	me	,
me	,	blast
,	blast	you
blast	you	''
you	''	!
''	!	!
!	!	At
!	At	first
At	first	,
first	,	I
,	I	thought
I	thought	he
thought	he	was
he	was	out
was	out	of
out	of	his
of	his	head
his	head	,
head	,	talking
,	talking	wildly
talking	wildly	like
wildly	like	this
like	this	.
this	.	But
.	But	a
But	a	glance
a	glance	at
glance	at	Songau
at	Songau	and
Songau	and	the
and	the	other
the	other	women
other	women	confirmed
women	confirmed	what
confirmed	what	Brassnose
what	Brassnose	had
Brassnose	had	blurted
had	blurted	out
blurted	out	.
out	.	The
.	The	women's
The	women's	faces
women's	faces	had
faces	had	hardened
had	hardened	after
hardened	after	my
after	my	statement
my	statement	.
statement	.	At
.	At	a
At	a	nod
a	nod	from
nod	from	Songau
from	Songau	,
Songau	,	four
,	four	lithe
four	lithe	and
lithe	and	muscular
and	muscular	girls
muscular	girls	darted
girls	darted	to
darted	to	Frayne's
to	Frayne's	side
Frayne's	side	and
side	and	seized
and	seized	him
seized	him	by
him	by	the
by	the	arms
the	arms	.
arms	.	The
.	The	man
The	man	was
man	was	an
was	an	ox
an	ox	and
ox	and	he
and	he	put
he	put	up
put	up	a
up	a	creditable
a	creditable	struggle
creditable	struggle	;
struggle	;	;
;	;	but
;	but	four
but	four	Eromonga
four	Eromonga	women
Eromonga	women	are
women	are	more
are	more	than
more	than	a
than	a	match
a	match	for
match	for	the
for	the	strongest
the	strongest	male
strongest	male	that
male	that	ever
that	ever	lived
ever	lived	.
lived	.	Besides
.	Besides	,
Besides	,	terror
,	terror	had
terror	had	sapped
had	sapped	some
sapped	some	of
some	of	Frayne's
of	Frayne's	vitality
Frayne's	vitality	and
vitality	and	will
and	will	.
will	.	My
.	My	last
My	last	impression
last	impression	as
impression	as	they
as	they	led
they	led	him
led	him	off
him	off	to
off	to	a
to	a	stockade
a	stockade	was
stockade	was	of
was	of	his
of	his	pale
his	pale	face
pale	face	.
face	.	In
.	In	the
In	the	Manu
the	Manu	tongue
Manu	tongue	,
tongue	,	``
,	``	eromonga
``	eromonga	''
eromonga	''	means
''	means	manhood
means	manhood	--
manhood	--	a
--	a	quality
a	quality	which
quality	which	the
which	the	women
the	women	derisively
women	derisively	toasted
derisively	toasted	in
toasted	in	weekly
in	weekly	feasts
weekly	feasts	at
feasts	at	which
at	which	great
which	great	quantities
great	quantities	of
quantities	of	a
of	a	brew
a	brew	like
brew	like	kava
like	kava	were
kava	were	imbibed
were	imbibed	.
imbibed	.	In
.	In	the
In	the	hut
the	hut	to
hut	to	which
to	which	I
which	I	was
I	was	assigned
was	assigned	--
assigned	--	Max
--	Max	had
Max	had	his
had	his	own
his	own	quarters
own	quarters	--
quarters	--	my
--	my	food
my	food	was
food	was	brought
was	brought	to
brought	to	me
to	me	by
me	by	a
by	a	wrinkled
a	wrinkled	crone
wrinkled	crone	with
crone	with	bare
with	bare	drooping
bare	drooping	breasts
drooping	breasts	who
breasts	who	seemed
who	seemed	to
seemed	to	enjoy
to	enjoy	conversing
enjoy	conversing	with
conversing	with	me
with	me	in
me	in	rudimentary
in	rudimentary	phrases
rudimentary	phrases	.
phrases	.	Her
.	Her	name
Her	name	was
name	was	L'Turu
was	L'Turu	and
L'Turu	and	she
and	she	told
she	told	me
told	me	many
me	many	things
many	things	.
things	.	For
.	For	an
For	an	anthropologist
an	anthropologist	,
anthropologist	,	loquacious
,	loquacious	old
loquacious	old	L'Turu
old	L'Turu	was
L'Turu	was	a
was	a	mine
a	mine	of
mine	of	information
of	information	.
information	.	Though
.	Though	I
Though	I	had
I	had	a
had	a	great
a	great	dread
great	dread	of
dread	of	the
of	the	island
the	island	and
island	and	felt
and	felt	I
felt	I	would
I	would	never
would	never	leave
never	leave	it
leave	it	alive
it	alive	,
alive	,	I
,	I	eagerly
I	eagerly	wrote
eagerly	wrote	down
wrote	down	everything
down	everything	she
everything	she	told
she	told	me
told	me	about
me	about	its
about	its	women
its	women	.
women	.	(
.	(	Her
(	Her	account
Her	account	was
account	was	later
was	later	confirmed
later	confirmed	by
confirmed	by	the
by	the	Scobee-Frazier
the	Scobee-Frazier	Expedition
Scobee-Frazier	Expedition	from
Expedition	from	the
from	the	University
the	University	of
University	of	Manitoba
of	Manitoba	in
Manitoba	in	1951
in	1951	.
1951	.	)
.	)	From
)	From	L'Turu
From	L'Turu	,
L'Turu	,	I
,	I	heard
I	heard	that
heard	that	until
that	until	about
until	about	1850
about	1850	the
1850	the	people
the	people	of
people	of	this
of	this	island
this	island	--
island	--	which
--	which	was
which	was	about
was	about	the
about	the	size
the	size	of
size	of	Guam
of	Guam	or
Guam	or	smaller
or	smaller	--
smaller	--	had
--	had	been
had	been	of
been	of	both
of	both	sexes
both	sexes	,
sexes	,	and
,	and	that
and	that	the
that	the	normal
the	normal	family
normal	family	life
family	life	of
life	of	Melanesian
of	Melanesian	tribes
Melanesian	tribes	was
tribes	was	observed
was	observed	here
observed	here	with
here	with	minor
with	minor	variations
minor	variations	.
variations	.	But
.	But	in
But	in	the
in	the	middle
the	middle	of
middle	of	the
of	the	last
the	last	century
last	century	an
century	an	island
an	island	woman
island	woman	named
woman	named	``
named	``	Karipo
``	Karipo	''
Karipo	''	seized
''	seized	a
seized	a	spear
a	spear	in
spear	in	the
in	the	heat
the	heat	of
heat	of	an
of	an	inter-tribal
an	inter-tribal	battle
inter-tribal	battle	and
battle	and	rallied
and	rallied	the
rallied	the	women
the	women	after
women	after	their
after	their	men
their	men	had
men	had	fled
had	fled	.
fled	.	Miraculously
.	Miraculously	,
Miraculously	,	Karipo
,	Karipo	and
Karipo	and	her
and	her	women
her	women	had
women	had	succeeded
had	succeeded	in
succeeded	in	driving
in	driving	a
driving	a	hundred
a	hundred	invaders
hundred	invaders	from
invaders	from	the
from	the	isle
the	isle	of
isle	of	Pamasu
of	Pamasu	back
Pamasu	back	to
back	to	their
to	their	war
their	war	canoes
war	canoes	,
canoes	,	after
,	after	considerable
after	considerable	loss
considerable	loss	of
loss	of	life
of	life	on
life	on	both
on	both	sides
both	sides	.
sides	.	Karipo
.	Karipo	was
Karipo	was	something
was	something	of
something	of	a
of	a	politician
a	politician	as
politician	as	well
as	well	as
well	as	a
as	a	militarist
a	militarist	.
militarist	.	She
.	She	quickly
She	quickly	exploited
quickly	exploited	the
exploited	the	exalted
the	exalted	position
exalted	position	she
position	she	now
she	now	occupied
now	occupied	,
occupied	,	by
,	by	harassing
by	harassing	the
harassing	the	disorganized
the	disorganized	males
disorganized	males	and
males	and	even
and	even	putting
even	putting	many
putting	many	of
many	of	them
of	them	to
them	to	death
to	death	.
death	.	Within
.	Within	a
Within	a	decade
a	decade	or
decade	or	less
or	less	,
less	,	few
,	few	men
few	men	were
men	were	left
were	left	and
left	and	a
and	a	feminist
a	feminist	society
feminist	society	had
society	had	sprung
had	sprung	up
sprung	up	.
up	.	``
.	``	Karipo
``	Karipo	was
Karipo	was	great
was	great	goddess
great	goddess	,
goddess	,	told
,	told	our
told	our	mothers
our	mothers	that
mothers	that	men
that	men	were
men	were	not
were	not	necessary
not	necessary	except
necessary	except	to
except	to	father
to	father	children
father	children	''
children	''	,
''	,	the
,	the	crone
the	crone	told
crone	told	me
told	me	.
me	.	``
.	``	All
``	All	men
All	men	went
men	went	away
went	away	from
away	from	here
from	here	.
here	.	Those
.	Those	who
Those	who	stayed
who	stayed	had
stayed	had	to
had	to	pass
to	pass	tests
pass	tests	.
tests	.	Few
.	Few	passed
Few	passed	''
passed	''	.
''	.	She
.	She	cackled
She	cackled	with
cackled	with	mirth
with	mirth	,
mirth	,	showing
,	showing	the
showing	the	stumps
the	stumps	of
stumps	of	betel-stained
of	betel-stained	teeth
betel-stained	teeth	.
teeth	.	``
.	``	Karipo's
``	Karipo's	women
Karipo's	women	then
women	then	named
then	named	this
named	this	place
this	place	'
place	'	Eromonga
'	Eromonga	'
Eromonga	'	--
'	--	manhood
--	manhood	--
manhood	--	for
--	for	just
for	just	the
just	the	strongest
the	strongest	men
strongest	men	could
men	could	stay
could	stay	here
stay	here	.
here	.	Come
.	Come	,
Come	,	I
,	I	show
I	show	you
show	you	''
you	''	.
''	.	The
.	The	old
The	old	woman
old	woman	arose
woman	arose	stiffly
arose	stiffly	and
stiffly	and	led
and	led	me
led	me	to
me	to	a
to	a	clearing
a	clearing	where
clearing	where	a
where	a	small
a	small	hut
small	hut	stood
hut	stood	.
stood	.	In
.	In	the
In	the	shade
the	shade	of
shade	of	a
of	a	palm
a	palm	tree
palm	tree	in
tree	in	front
in	front	of
front	of	the
of	the	squalid
the	squalid	dwelling
squalid	dwelling	I
dwelling	I	saw
I	saw	four
saw	four	figures
four	figures	in
figures	in	a
in	a	semi-circle
a	semi-circle	on
semi-circle	on	the
on	the	ground
the	ground	.
ground	.	``
.	``	I
``	I	guess
I	guess	he
guess	he	spent
he	spent	the
spent	the	morning
the	morning	getting
morning	getting	himself
getting	himself	all
himself	all	organized
all	organized	,
organized	,	then
,	then	headed
then	headed	for
headed	for	home
for	home	.
home	.	Maybe
.	Maybe	to
Maybe	to	beat
to	beat	up
beat	up	on
up	on	his
on	his	squaw
his	squaw	''
squaw	''	.
''	.	Benson
.	Benson	looked
Benson	looked	up
looked	up	and
up	and	saw
and	saw	Ramey's
saw	Ramey's	long
Ramey's	long	head
long	head	tilt
head	tilt	forward
tilt	forward	to
forward	to	rub
to	rub	his
rub	his	chin
his	chin	on
chin	on	the
on	the	stiff
the	stiff	edge
stiff	edge	of
edge	of	the
of	the	overall
the	overall	bib
overall	bib	.
bib	.	Ramey
.	Ramey	reached
Ramey	reached	out
reached	out	with
out	with	the
with	the	tire
the	tire	iron
tire	iron	and
iron	and	dislodged
and	dislodged	a
dislodged	a	chunk
a	chunk	of
chunk	of	mud
of	mud	that
mud	that	was
that	was	caked
was	caked	on
caked	on	the
on	the	spare
the	spare	tire
spare	tire	rack
tire	rack	.
rack	.	``
.	``	I'd
``	I'd	like
I'd	like	to
like	to	know
to	know	just
know	just	which
just	which	it
which	it	is
it	is	that
is	that	those
that	those	guys
those	guys	don't
guys	don't	understand
don't	understand	,
understand	,	the
,	the	liquor
the	liquor	or
liquor	or	automobiles
or	automobiles	''
automobiles	''	.
''	.	Somehow
.	Somehow	the
Somehow	the	thought
the	thought	of
thought	of	a
of	a	simple
a	simple	man
simple	man	bewildered
man	bewildered	by
bewildered	by	things
by	things	no
things	no	one
no	one	had
one	had	ever
had	ever	really
ever	really	helped
really	helped	him
helped	him	understand
him	understand	moved
understand	moved	the
moved	the	driver
the	driver	.
driver	.	For
.	For	a
For	a	moment
a	moment	his
moment	his	hatred
his	hatred	toward
hatred	toward	drunken
toward	drunken	or
drunken	or	careless
or	careless	drivers
careless	drivers	softened
drivers	softened	.
softened	.	Maybe
.	Maybe	the
Maybe	the	Indian
the	Indian	wasn't
Indian	wasn't	too
wasn't	too	much
too	much	at
much	at	fault
at	fault	,
fault	,	Ramey
,	Ramey	thought
Ramey	thought	.
thought	.	Maybe
.	Maybe	he
Maybe	he	was
he	was	only
was	only	doing
only	doing	the
doing	the	best
the	best	he
best	he	knew
he	knew	how
knew	how	,
how	,	like
,	like	any
like	any	of
any	of	us
of	us	.
us	.	Anyway
.	Anyway	,
Anyway	,	he
,	he	doesn't
he	doesn't	deserve
doesn't	deserve	to
deserve	to	lie
to	lie	there
lie	there	in
there	in	the
in	the	sun
the	sun	and
sun	and	be
and	be	stared
be	stared	at
stared	at	.
at	.	``
.	``	Ever
``	Ever	see
Ever	see	yourself
see	yourself	spread
yourself	spread	out
spread	out	on
out	on	the
on	the	pavement
the	pavement	,
pavement	,	Benny
,	Benny	''
Benny	''	?
''	?	?
?	?	He
?	He	said
He	said	to
said	to	his
to	his	partner
his	partner	.
partner	.	``
.	``	You
``	You	mean
You	mean	dream
mean	dream	''
dream	''	?
''	?	?
?	?	``
?	``	Not
``	Not	exactly
Not	exactly	.
exactly	.	Just
.	Just	see
Just	see	it
see	it	''
it	''	.
''	.	Benson
.	Benson	grinned
Benson	grinned	and
grinned	and	flipped
and	flipped	a
flipped	a	rock
a	rock	with
rock	with	his
with	his	thumb
his	thumb	like
thumb	like	a
like	a	marble
a	marble	.
marble	.	``
.	``	Nope
``	Nope	,
Nope	,	just
,	just	you
just	you	,
you	,	all
,	all	the
all	the	time
the	time	--
time	--	sometimes
--	sometimes	I
sometimes	I	think
I	think	it's
think	it's	the
it's	the	only
the	only	way
only	way	I'll
way	I'll	ever
I'll	ever	get
ever	get	a
get	a	decent
a	decent	partner
decent	partner	''
partner	''	.
''	.	Ramey
.	Ramey	smiled
Ramey	smiled	but
smiled	but	he
but	he	thought
he	thought	to
thought	to	himself
to	himself	,
himself	,	I
,	I	always
I	always	see
always	see	me
see	me	too
me	too	.
too	.	Never
.	Never	Benny
Never	Benny	.
Benny	.	Whenever
.	Whenever	he
Whenever	he	saw
he	saw	someone
saw	someone	lying
someone	lying	in
lying	in	the
in	the	dirt
the	dirt	,
dirt	,	Ramey
,	Ramey	wondered
Ramey	wondered	what
wondered	what	the
what	the	person
the	person	had
person	had	been
had	been	thinking
been	thinking	and
thinking	and	he
and	he	would
he	would	try
would	try	out
try	out	thoughts
out	thoughts	in
thoughts	in	his
in	his	own
his	own	mind
own	mind	.
mind	.	Then
.	Then	he
Then	he	would
he	would	realize
would	realize	they
realize	they	were
they	were	really
were	really	things
really	things	that
things	that	only
that	only	he
only	he	himself
he	himself	could
himself	could	think
could	think	.
think	.	With
.	With	this
With	this	realization
this	realization	,
realization	,	sometimes
,	sometimes	,
sometimes	,	he
,	he	saw
he	saw	himself
saw	himself	as
himself	as	he
as	he	looked
he	looked	down
looked	down	.
down	.	``
.	``	You
``	You	seen
You	seen	him
seen	him	yet
him	yet	''
yet	''	?
''	?	?
?	?	Benson
?	Benson	said
Benson	said	,
said	,	referring
,	referring	to
referring	to	the
to	the	Indian
the	Indian	.
Indian	.	``
.	``	He
``	He	wasn't
He	wasn't	in
wasn't	in	the
in	the	car
the	car	''
car	''	,
''	,	Ramey
,	Ramey	said
Ramey	said	.
said	.	``
.	``	You
``	You	didn't
You	didn't	go
didn't	go	clear
go	clear	around
clear	around	''
around	''	,
''	,	Benson
,	Benson	said
Benson	said	.
said	.	``
.	``	If
``	If	you
If	you	want
you	want	to
want	to	see
to	see	something
see	something	,
something	,	he's
,	he's	back
he's	back	on
back	on	the
on	the	other
the	other	side
other	side	by
side	by	the
by	the	trunk
the	trunk	of
trunk	of	the
of	the	car
the	car	''
car	''	.
''	.	``
.	``	Too
``	Too	long
Too	long	a
long	a	waiting
a	waiting	line
waiting	line	''
line	''	,
''	,	Ramey
,	Ramey	answered
Ramey	answered	,
answered	,	pretending
,	pretending	to
pretending	to	joke
to	joke	.
joke	.	A
.	A	few
A	few	minutes
few	minutes	later
minutes	later	the
later	the	insurance
the	insurance	man
insurance	man	,
man	,	a
,	a	road
a	road	checker
road	checker	,
checker	,	drove
,	drove	up
drove	up	in
up	in	the
in	the	gray
the	gray	coupe
gray	coupe	with
coupe	with	license
with	license	plates
license	plates	on
plates	on	it
on	it	from
it	from	a
from	a	far-away
a	far-away	state
far-away	state	.
state	.	It
.	It	was
It	was	a
was	a	trick
a	trick	they
trick	they	used
they	used	to
used	to	try
to	try	and
try	and	conceal
and	conceal	their
conceal	their	identity
their	identity	when
identity	when	they
when	they	followed
they	followed	trucks
followed	trucks	to
trucks	to	check
to	check	their
check	their	speed
their	speed	.
speed	.	Sometimes
.	Sometimes	they
Sometimes	they	just
they	just	parked
just	parked	at
parked	at	the
at	the	side
the	side	of
side	of	the
of	the	road
the	road	and
road	and	used
and	used	radar
used	radar	on
radar	on	the
on	the	trucks
the	trucks	as
trucks	as	they
as	they	passed
they	passed	.
passed	.	All
.	All	the
All	the	drivers
the	drivers	knew
drivers	knew	about
knew	about	the
about	the	plates
the	plates	and
plates	and	they
and	they	also
they	also	knew
also	knew	about
knew	about	the
about	the	big
the	big	floppy
big	floppy	straw
floppy	straw	hat
straw	hat	with
hat	with	shredded
with	shredded	edges
shredded	edges	,
edges	,	the
,	the	kind
the	kind	natives
kind	natives	in
natives	in	travel
in	travel	ads
travel	ads	wear
ads	wear	when
wear	when	they
when	they	are
they	are	out
are	out	joyfully
out	joyfully	chopping
joyfully	chopping	cane
chopping	cane	.
cane	.	Horsely
.	Horsely	,
Horsely	,	an
,	an	agent
an	agent	on
agent	on	the
on	the	east
the	east	end
east	end	,
end	,	wore
,	wore	the
wore	the	hat
the	hat	,
hat	,	trying
,	trying	to
trying	to	look
to	look	like
look	like	a
like	a	tourist
a	tourist	.
tourist	.	It
.	It	had
It	had	always
had	always	seemed
always	seemed	strange
seemed	strange	to
strange	to	Ramey
to	Ramey	that
Ramey	that	to
that	to	disguise
to	disguise	himself
disguise	himself	as
himself	as	a
as	a	tourist
a	tourist	,
tourist	,	an
,	an	ex-truck
an	ex-truck	driver
ex-truck	driver	like
driver	like	Horsely
like	Horsely	would
Horsely	would	merely
would	merely	pick
merely	pick	something
pick	something	outlandish
something	outlandish	and
outlandish	and	put
and	put	it
put	it	on
it	on	his
on	his	head
his	head	.
head	.	The
.	The	insurance
The	insurance	man
insurance	man	informed
man	informed	them
informed	them	that
them	that	he
that	he	had
he	had	talked
had	talked	to
talked	to	Crumley
to	Crumley	who
Crumley	who	was
who	was	all
was	all	right
all	right	and
right	and	that
and	that	he
that	he	would
he	would	watch
would	watch	the
watch	the	men's
the	men's	personal
men's	personal	effects
personal	effects	until
effects	until	they
until	they	towed
they	towed	the
towed	the	rig
the	rig	back
rig	back	to
back	to	town
to	town	.
town	.	He
.	He	chatted
He	chatted	with
chatted	with	Ramey
with	Ramey	and
Ramey	and	Benson
and	Benson	for
Benson	for	a
for	a	minute
a	minute	or
minute	or	so
or	so	in
so	in	the
in	the	meager
the	meager	shade
meager	shade	of
shade	of	the
of	the	trailer
the	trailer	.
trailer	.	Every
.	Every	so
Every	so	often
so	often	the
often	the	diminishing
the	diminishing	sound
diminishing	sound	of
sound	of	a
of	a	car
a	car	came
car	came	under
came	under	the
under	the	trailer
the	trailer	as
trailer	as	it
as	it	slowed
it	slowed	down
slowed	down	for
down	for	the
for	the	wreck
the	wreck	then
wreck	then	speeded
then	speeded	up
speeded	up	again
up	again	as
again	as	it
as	it	got
it	got	clear
got	clear	.
clear	.	When
.	When	they
When	they	were
they	were	ready
were	ready	to
ready	to	leave
to	leave	,
leave	,	Benson
,	Benson	and
Benson	and	Ramey
and	Ramey	walked
Ramey	walked	back
walked	back	around
back	around	the
around	the	rear
the	rear	of
rear	of	the
of	the	trailer
the	trailer	.
trailer	.	``
.	``	There's
``	There's	a
There's	a	body
a	body	you
body	you	won't
you	won't	mind
won't	mind	looking
mind	looking	at
looking	at	''
at	''	,
''	,	Benson
,	Benson	said
Benson	said	and
said	and	they
and	they	stopped
they	stopped	.
stopped	.	She
.	She	had
She	had	driven
had	driven	up
driven	up	with
up	with	her
with	her	husband
her	husband	in
husband	in	a
in	a	convertible
a	convertible	with
convertible	with	Eastern
with	Eastern	license
Eastern	license	plates
license	plates	,
plates	,	although
,	although	the
although	the	two
the	two	drivers
two	drivers	knew
drivers	knew	nothing
knew	nothing	at
nothing	at	the
at	the	moment
the	moment	about
moment	about	that
about	that	.
that	.	She
.	She	wore
She	wore	shorts
wore	shorts	and
shorts	and	a
and	a	loose
a	loose	terry-cloth
loose	terry-cloth	shirt
terry-cloth	shirt	.
shirt	.	Slender
.	Slender	and
Slender	and	tanned
and	tanned	,
tanned	,	her
,	her	dark
her	dark	brown
dark	brown	hair
brown	hair	was
hair	was	drawn
was	drawn	straight
drawn	straight	back
straight	back	,
back	,	simply
,	simply	.
simply	.	``
.	``	What
``	What	outfit
What	outfit	does
outfit	does	she
does	she	drive
she	drive	for
drive	for	''
for	''	?
''	?	?
?	?	Benson
?	Benson	said
Benson	said	.
said	.	Seeing
.	Seeing	her
Seeing	her	caused
her	caused	a
caused	a	lurch
a	lurch	in
lurch	in	Ramey
in	Ramey	,
Ramey	,	a
,	a	recognition
a	recognition	.
recognition	.	She
.	She	might
She	might	have
might	have	been
have	been	someone
been	someone	he
someone	he	had
he	had	once
had	once	loved
once	loved	.
loved	.	He
.	He	had
He	had	never
had	never	seen
never	seen	her
seen	her	before
her	before	,
before	,	but
,	but	now
but	now	he
now	he	thought
he	thought	of
thought	of	the
of	the	manner
the	manner	in
manner	in	which
in	which	he
which	he	and
he	and	Benson
and	Benson	went
Benson	went	in
went	in	and
in	and	out
and	out	of
out	of	the
of	the	cities
the	cities	,
cities	,	at
,	at	each
at	each	end
each	end	of
end	of	their
of	their	run
their	run	.
run	.	The
.	The	truck
The	truck	routes
truck	routes	,
routes	,	the
,	the	industrial
the	industrial	areas
industrial	areas	with
areas	with	walls
with	walls	grimed
walls	grimed	with
grimed	with	diesel
with	diesel	smoke
diesel	smoke	passed
smoke	passed	briefly
passed	briefly	through
briefly	through	his
through	his	mind
his	mind	--
mind	--	back
--	back	alleys
back	alleys	were
alleys	were	their
were	their	access
their	access	to
access	to	a
to	a	city
a	city	and
city	and	they
and	they	could
they	could	never
could	never	stay
never	stay	.
stay	.	How
.	How	would
How	would	you
would	you	ever
you	ever	see
ever	see	her
see	her	again
her	again	?
again	?	?
?	?	The
?	The	feeling
The	feeling	subsided
feeling	subsided	,
subsided	,	it
,	it	was
it	was	only
was	only	a
only	a	small
a	small	yearning
small	yearning	.
yearning	.	Their
.	Their	work
Their	work	was
work	was	lonely
was	lonely	.
lonely	.	``
.	``	What's
``	What's	she
What's	she	doing
she	doing	in
doing	in	this
in	this	bunch
this	bunch	''
bunch	''	?
''	?	?
?	?	Benson
?	Benson	said
Benson	said	,
said	,	and
,	and	Ramey
and	Ramey	wondered
Ramey	wondered	how
wondered	how	close
how	close	their
close	their	thoughts
their	thoughts	might
thoughts	might	have
might	have	been
have	been	.
been	.	The
.	The	girl
The	girl	looked
girl	looked	around
looked	around	at
around	at	the
at	the	countryside
the	countryside	.
countryside	.	Her
.	Her	glance
Her	glance	swung
glance	swung	past
swung	past	the
past	the	trailer
the	trailer	where
trailer	where	the
where	the	two
the	two	drivers
two	drivers	were
drivers	were	standing
were	standing	.
standing	.	It
.	It	made
It	made	only
made	only	a
only	a	tiny
a	tiny	bump
tiny	bump	over
bump	over	the
over	the	two
the	two	men
two	men	like
men	like	a
like	a	tire
a	tire	over
tire	over	a
over	a	piece
a	piece	of
piece	of	gravel
of	gravel	then
gravel	then	moved
then	moved	on
moved	on	.
on	.	She
.	She	began
She	began	to
began	to	watch
to	watch	a
watch	a	blonde-haired
a	blonde-haired	man
blonde-haired	man	,
man	,	also
,	also	in
also	in	shorts
in	shorts	,
shorts	,	standing
,	standing	right
standing	right	at
right	at	the
at	the	rear
the	rear	of
rear	of	the
of	the	wrecked
the	wrecked	car
wrecked	car	in
car	in	the
in	the	one
the	one	spot
one	spot	that
spot	that	most
that	most	of
most	of	the
of	the	crowd
the	crowd	had
crowd	had	detoured
had	detoured	slightly
detoured	slightly	.
slightly	.	What
.	What	had
What	had	caught
had	caught	his
caught	his	attention
his	attention	was
attention	was	obscured
was	obscured	by
obscured	by	the
by	the	car
the	car	itself
car	itself	,
itself	,	so
,	so	that
so	that	neither
that	neither	the
neither	the	girl
the	girl	nor
girl	nor	the
nor	the	truck
the	truck	drivers
truck	drivers	could
drivers	could	see
could	see	,
see	,	but
,	but	Benson
but	Benson	knew
Benson	knew	what
knew	what	it
what	it	was
it	was	.
was	.	The
.	The	girl
The	girl	took
girl	took	a
took	a	couple
a	couple	of
couple	of	steps
of	steps	toward
steps	toward	the
toward	the	man
the	man	in
man	in	shorts
in	shorts	when
shorts	when	Benson
when	Benson	,
Benson	,	in
,	in	that
in	that	barefoot
that	barefoot	courtliness
barefoot	courtliness	Ramey
courtliness	Ramey	could
Ramey	could	never
could	never	decide
never	decide	was
decide	was	real
was	real	,
real	,	said
,	said	,
said	,	``
,	``	You
``	You	don't
You	don't	want
don't	want	to
want	to	go
to	go	around
go	around	there
around	there	,
there	,	Ma'am
,	Ma'am	''
Ma'am	''	.
''	.	The
.	The	girl
The	girl	stopped
girl	stopped	but
stopped	but	did
but	did	not
did	not	turn
not	turn	her
turn	her	head
her	head	or
head	or	acknowledge
or	acknowledge	that
acknowledge	that	someone
that	someone	had
someone	had	spoken
had	spoken	to
spoken	to	her
to	her	.
her	.	The
.	The	man
The	man	stood
man	stood	near
stood	near	the
near	the	bent
the	bent	levi-clad
bent	levi-clad	body
levi-clad	body	of
body	of	the
of	the	Indian
